# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	63164
#@/user_id	4232a789-02e2-4ed5-b0bb-ca190859e4b9
a 	啊	c=208 d=0.826959 t=63164
fu yuan fei 	復員費	c=2 d=0.00174788 t=63164
fu yun 	浮雲	c=1 d=2.36638e-16 t=63164
fu za 	複雜	c=6 d=2.59373e-07 t=63164
fu za du 	複雜度	c=0 d=0.1 t=60184
fu zai 	浮在	c=1 d=1 t=58340
fu ze 	負責	c=8 d=0.249075 t=63164
fu ze ren 	負責人	c=1 d=3.50105e-36 t=63164
fu zhai 	負債	c=3 d=5.92846e-56 t=63164
fu zhi 	複製	c=7 d=4.91895e-07 t=63164
fu zhi 	負值	c=1 d=1.4073e-49 t=63164
fu zhi 	賦值	c=2 d=6.94009e-25 t=63164
fu zhu 	輔助	c=1 d=9.67086e-19 t=63164
ga 	尬	c=1 d=1 t=57204
ga li 	咖喱	c=0 d=4.83239e-05 t=63164
ga li ga li 	咖喱咖喱	c=1 d=0.000485661 t=63164
ga wu 	尬舞	c=1 d=0.000101546 t=63164
gai 	改	c=10 d=0.204948 t=63164
gai 	蓋	c=1 d=2.22933e-20 t=63164
gai 	該	c=62 d=0.147676 t=63164
gai bian 	改變	c=7 d=4.29923e-11 t=63164
gai che 	該車	c=1 d=1.57286e-34 t=63164
gai cheng 	改成	c=3 d=1.12903e-16 t=63164
gai ci bi 	蓋茨比	c=1 d=5.57562e-40 t=63164
gai ding 	改定	c=0 d=3.06945e-48 t=63164
gai guo 	改過	c=1 d=1 t=59264
gai jin 	改進	c=2 d=0.00138093 t=63164
gai kuo 	概括	c=2 d=0.168638 t=63164
gai kuo ji shou ren 	概括繼受人	c=1 d=6.00866e-67 t=63164
gai lv 	概率	c=3 d=6.13565e-19 t=63164
gai lv zhi duo shao 	概率知多少	c=1 d=1 t=55162
gai ming 	改名	c=1 d=1 t=60347
gai nian 	概念	c=12 d=1.26087 t=63164
gai nian gu 	概念股	c=2 d=2.29241e-59 t=63164
gai shan 	改刪	c=0 d=0.1 t=60360
gai shan 	改善	c=1 d=1 t=55139
gai shu 	概述	c=1 d=1.7201e-28 t=63164
gai si 	該死	c=3 d=1.02584e-06 t=63164
gai wu 	該物	c=5 d=0.0713613 t=63164
gai yao 	概要	c=2 d=3.4145e-28 t=63164
gai zao 	改造	c=1 d=2.59585e-46 t=63164
gai zhuang 	改裝	c=1 d=2.25442e-34 t=63164
gan 	幹	c=12 d=0.543351 t=63164
gan 	感	c=20 d=0.000645073 t=63164
gan 	敢	c=2 d=3.06153e-46 t=63164
gan 	杆	c=1 d=1.17979e-05 t=63164
gan 	趕	c=1 d=5.92261e-15 t=63164
gan bu shang 	趕不上	c=1 d=7.31008e-50 t=63164
gan cui 	乾脆	c=2 d=1.57125e-22 t=63164
gan dao 	感到	c=4 d=2.05157e-13 t=63164
gan diao 	幹掉	c=2 d=2.45534e-09 t=63164
gan die 	乾爹	c=10 d=0.000153778 t=63164
gan fu 	趕赴	c=1 d=2.0736e-21 t=63164
gan ga 	尷尬	c=11 d=0.00214418 t=63164
gan gan jing jing 	乾乾淨淨	c=1 d=8.5064e-39 t=63164
gan huo 	幹活	c=1 d=4.52735e-31 t=63164
gan ji 	趕集	c=0 d=2.84921e-25 t=63164
gan ji wang 	趕集網	c=1 d=2.86349e-24 t=63164
gan jing 	乾淨	c=2 d=9.98437e-12 t=63164
gan jue 	感覺	c=104 d=2.33553 t=63164
gan kuai 	趕快	c=1 d=4.7301e-17 t=63164
gan ma 	幹嘛	c=5 d=0.15259 t=63164
gan mao 	感冒	c=1 d=1 t=62293
gan mao yao 	感冒藥	c=1 d=1 t=58756
gan qing 	感情	c=4 d=0.733447 t=63164
gan sha 	幹啥	c=1 d=6.15134e-49 t=63164
gan shen me 	幹什麼	c=3 d=1.81051e-13 t=63164
gan shou 	感受	c=4 d=1.87857e-06 t=63164
gan wei ren xian 	敢爲人先	c=1 d=1.66614e-06 t=63164
gan wu 	感悟	c=3 d=5.97704e-05 t=63164
gan xie 	感謝	c=7 d=0.0214936 t=63164
gan xing qu 	感興趣	c=35 d=0.0388918 t=63164
gan xing qu de 	感興趣的	c=1 d=5.08361e-12 t=63164
gan yu 	敢於	c=1 d=1.0299e-23 t=63164
gan yu 	甘於	c=0 d=1.3821e-14 t=63164
gan yu feng xian 	甘於奉獻	c=1 d=1.38903e-13 t=63164
gan zao 	乾燥	c=1 d=3.01287e-34 t=63164
gang 	剛	c=7 d=3.99755e-08 t=63164
gang 	港	c=1 d=1.03717e-47 t=63164
gang ao 	港澳	c=3 d=5.57198e-09 t=63164
gang ao tong xing zheng 	港澳通行證	c=1 d=4.87167e-11 t=63164
gang ban 	港版	c=2 d=1.77492 t=61982
gang bi 	港幣	c=2 d=9.70776e-05 t=63164
gang gan 	槓桿	c=3 d=4.91589e-38 t=63164
gang gan shou gou 	杠杆收購	c=2 d=8.15705e-38 t=63164
gang gang 	剛剛	c=10 d=0.66365 t=63164
gang gu 	港股	c=21 d=0.0136366 t=63164
gang guan wu 	鋼管舞	c=1 d=6.10278e-44 t=63164
gang jia 	剛加	c=1 d=4.85976e-41 t=63164
gang jia 	鋼架	c=2 d=1.03536e-40 t=63164
gang kai shi 	剛開始	c=1 d=3.57737e-25 t=63164
gang mei 	港妹	c=1 d=3.55347e-05 t=63164
gang qin 	鋼琴	c=1 d=1.79707e-43 t=63164
gang rong 	港榮	c=1 d=2.7402e-65 t=63164
gang tie 	鋼鐵	c=0 d=5.5448e-64 t=63164
gang tie lie yan 	鋼鐵烈焰	c=1 d=5.5726e-63 t=63164
gang wei 	崗位	c=2 d=6.43358e-18 t=63164
gang xu 	剛需	c=2 d=2.02339e-43 t=63164
gang yuan 	港元	c=2 d=3.24716e-59 t=63164
gang zhi dao 	剛知道	c=1 d=4.12701e-30 t=63164
gao 	告	c=2 d=0.650509 t=63164
gao 	搞	c=100 d=1.7117 t=63164
gao 	高	c=26 d=0.823274 t=63164
gao ang 	高昂	c=5 d=2.31576e-15 t=63164
gao bu chu 	搞不出	c=1 d=8.09042e-08 t=63164
gao bu gao 	搞不搞	c=1 d=3.78156e-31 t=63164
gao bu gao xing 	高不高興	c=1 d=6.62345e-66 t=63164
gao bu liao 	搞不了	c=1 d=5.76913e-59 t=63164
gao cheng 	搞成	c=5 d=0.0100017 t=63164
gao chou 	稿酬	c=1 d=1.13604e-30 t=63164
gao chu 	搞出	c=2 d=2.41213e-06 t=63164
gao da 	高大	c=0 d=3.89263e-49 t=63164
gao da 	高達	c=0 d=3.87321e-49 t=63164
gao da shang 	高大上	c=2 d=1.63839e-45 t=63164
gao da shang 	高達上	c=1 d=3.89263e-48 t=63164
gao dang 	高檔	c=1 d=2.99631e-28 t=63164
gao dao 	搞到	c=1 d=5.74328e-65 t=63164
gao de 	搞得	c=2 d=1.39187e-37 t=63164
gao de 	高德	c=1 d=4.66841e-39 t=63164
gao deng 	高等	c=1 d=1 t=55175
gao dian 	搞點	c=2 d=6.55441e-31 t=63164
gao dian qian 	搞點錢	c=1 d=4.29982e-42 t=63164
gao dian shi 	搞點事	c=1 d=2.98645e-48 t=63164
gao ding 	搞定	c=13 d=0.301209 t=63164
gao du 	高度	c=3 d=7.27166e-14 t=63164
gao duan 	高段	c=0 d=2.40133e-13 t=63164
gao duan 	高端	c=2 d=4.54371e-44 t=63164
gao duan wei 	高段位	c=2 d=4.92522e-12 t=63164
gao fa lv 	搞法律	c=1 d=2.22547e-29 t=63164
gao fei 	稿費	c=3 d=0.0294518 t=63164
gao fen 	高分	c=1 d=2.95582e-15 t=63164
gao feng xian 	高風險	c=1 d=1.13682e-38 t=63164
gao gao 	搞搞	c=1 d=1.78349e-42 t=63164
gao ge 	搞個	c=1 d=4.01118e-48 t=63164
gao gu 	高估	c=1 d=1.22958e-49 t=63164
gao gui 	高貴	c=1 d=4.34895e-58 t=63164
gao ji 	高級	c=17 d=0.0308571 t=63164
gao ji hei 	高級黑	c=2 d=2.2528e-35 t=63164
gao jie 	告誡	c=3 d=7.70084e-45 t=63164
gao jiu 	高就	c=1 d=0.112478 t=63164
gao kao 	高考	c=1 d=1.67535e-12 t=63164
gao kuai dian 	搞快點	c=1 d=1.67239e-50 t=63164
gao leng 	高冷	c=1 d=1.25574e-32 t=63164
gao liang 	高亮	c=11 d=0.60942 t=63164
gao lou da sha 	高樓大廈	c=1 d=4.25573e-09 t=63164
gao pei 	高配	c=0 d=9.42215e-37 t=63164
gao qing 	高清	c=1 d=0.0448245 t=63164
gao sha zi 	搞啥子	c=1 d=3.85074e-09 t=63164
gao su 	告訴	c=26 d=0.0816756 t=63164
gao su gong lu 	高速公路	c=1 d=4.34969e-60 t=63164
gao tie 	高鐵	c=3 d=0.427415 t=63164
gao wan 	搞完	c=3 d=1.36199e-17 t=63164
gao wang 	搞忘	c=1 d=7.04785e-32 t=63164
gao wei 	高位	c=2 d=2.1928e-21 t=63164
gao xiao 	高校	c=1 d=5.8002e-34 t=63164
gao xie 	高些	c=1 d=2.43505e-29 t=63164
gao xin 	高新	c=1 d=4.46907e-55 t=63164
gao xin qu 	高新區	c=1 d=3.6401e-53 t=63164
gao xing 	高興	c=2 d=4.65572e-07 t=63164
gao xue ya 	高血壓	c=1 d=2.12827e-33 t=63164
gao yu 	高於	c=1 d=5.4887e-61 t=63164
gao zan 	高讚	c=1 d=4.34318e-13 t=63164
gao zhi 	告知	c=1 d=1.53935e-16 t=63164
gao zhi liang 	高質量	c=2 d=2.46673e-34 t=63164
gao zhong 	高中	c=11 d=3.97761e-08 t=63164
gao zhong shi dai 	高中時代	c=1 d=6.92618e-33 t=63164
gao zhong tong xue 	高中同學	c=1 d=1.04241e-18 t=63164
ge 	個	c=211 d=1.37256 t=63164
ge 	各	c=7 d=2.00644e-16 t=63164
ge 	哥	c=9 d=0.532592 t=63164
ge 	歌	c=10 d=0.00118433 t=63164
ge bi 	隔壁	c=2 d=5.04262e-05 t=63164
ge ci 	歌詞	c=9 d=2.61347e-08 t=63164
ge da 	各大	c=1 d=2.91628e-33 t=63164
ge dan 	歌單	c=1 d=0.000337144 t=63164
ge diao 	格調	c=2 d=1.05217e-10 t=63164
ge ge 	各個	c=5 d=0.0505395 t=63164
ge ge 	哥哥	c=1 d=9.48259e-24 t=63164
ge ge di di 	哥哥弟弟	c=1 d=9.53012e-23 t=63164
ge gu 	個股	c=3 d=1.33581e-59 t=63164
ge he 	隔閡	c=2 d=1.24151e-45 t=63164
ge le 	割了	c=0 d=3.80234e-67 t=63164
ge le ge 	割了個	c=1 d=3.8214e-66 t=63164
ge men 	哥們	c=7 d=3.30458e-33 t=63164
ge qu 	歌曲	c=1 d=6.12919e-36 t=63164
ge rang 	割讓	c=1 d=3.44706e-59 t=63164
ge ren 	個人	c=30 d=0.0132336 t=63164
ge ren zhu ye 	個人主頁	c=1 d=2.03642e-14 t=63164
ge shi 	格式	c=7 d=0.258165 t=63164
ge shou 	歌手	c=2 d=6.19507e-44 t=63164
ge ti 	個體	c=1 d=1.61657e-33 t=63164
ge wei 	各位	c=1 d=1.51643e-16 t=63164
ge xian 	割線	c=1 d=1 t=55242
ge xing 	個性	c=1 d=1 t=57130
ge yue 	個月	c=8 d=3.52248e-09 t=63164
ge zhong 	各種	c=34 d=0.000175365 t=63164
gei 	給	c=163 d=1.06698 t=63164
gei chu 	給出	c=6 d=0.496182 t=63164
gei dian 	給點	c=1 d=6.82444e-06 t=63164
gei li 	給力	c=1 d=6.52526e-08 t=63164
gei ni 	給你	c=24 d=3.00458e-07 t=63164
gei qian 	給錢	c=2 d=6.28563e-09 t=63164
gei ren 	給人	c=1 d=1.3854e-41 t=63164
gei wo men 	給我們	c=1 d=1.3029e-54 t=63164
gen 	跟	c=32 d=0.402524 t=63164
gen ben 	根本	c=7 d=6.65708e-08 t=63164
gen dao 	跟到	c=1 d=1.43699e-30 t=63164
gen ji 	根基	c=1 d=1.8743e-38 t=63164
gen ju 	根據	c=57 d=0.265896 t=63164
gen mai 	跟賣	c=1 d=1.55023e-40 t=63164
gen mu lu 	根目錄	c=2 d=1.00274 t=57998
gen ni 	跟你	c=1 d=7.75312e-07 t=63164
gen qian 	跟前	c=1 d=1 t=58173
gen zhe 	跟着	c=1 d=2.58915e-45 t=63164
gen zong 	跟蹤	c=2 d=1.36528e-16 t=63164
geng 	更	c=23 d=0.864934 t=63164
geng 	耕	c=1 d=4.98634e-20 t=63164
geng 	耿	c=2 d=4.96147e-20 t=63164
geng bu hui 	更不會	c=1 d=1.98647e-16 t=63164
geng di 	更低	c=1 d=0.0862936 t=63164
geng duo 	更多	c=16 d=4.30816e-06 t=63164
geng gai 	更改	c=3 d=1.16452e-09 t=63164
geng gao 	更高	c=3 d=2.61072e-26 t=63164
geng hao 	更好	c=13 d=0.000661348 t=63164
geng hao de 	更好地	c=2 d=0.07502 t=63164
geng huan 	更換	c=2 d=0.00814786 t=63164
geng jia 	更加	c=4 d=4.59531e-21 t=63164
geng jin yi bu 	更進一步	c=1 d=3.7581e-46 t=63164
geng kuai 	更快	c=4 d=1.97966e-05 t=63164
geng mei 	更美	c=1 d=1.19861e-43 t=63164
geng neng 	更能	c=2 d=0.000518277 t=63164
geng shi 	更是	c=2 d=0.0483156 t=63164
geng shi he 	更適合	c=1 d=1.64609e-40 t=63164
geng wei 	更爲	c=3 d=3.78684e-18 t=63164
geng xin 	更新	c=7 d=6.1484e-14 t=63164
geng you 	更有	c=3 d=0.00419023 t=63164
geng you qu 	更有趣	c=1 d=5.39888e-14 t=63164
geng you xiu 	更優秀	c=1 d=8.83972e-50 t=63164
geng zhi 	耿直	c=2 d=2.33313e-26 t=63164
geng zhong yao 	更重要	c=3 d=5.6445e-08 t=63164
gong 	供	c=10 d=3.9272e-05 t=63164
gong 	公	c=2 d=1.58133e-09 t=63164
gong 	共	c=2 d=4.86902e-34 t=63164
gong 	功	c=1 d=1.13647e-05 t=63164
gong 	宮	c=2 d=1.00181 t=60580
gong 	工	c=1 d=4.3565e-49 t=63164
gong 	躬	c=2 d=8.50378e-06 t=63164
gong chang 	工廠	c=2 d=5.30674e-39 t=63164
gong cheng 	工程	c=1 d=7.30014e-34 t=63164
gong chu 	供出	c=0 d=1.21676e-15 t=63164
gong chu lai 	供出來	c=1 d=1.22286e-14 t=63164
gong fan 	共犯	c=1 d=1.07379e-14 t=63164
gong fei 	公費	c=1 d=7.44634e-32 t=63164
gong fu 	功夫	c=1 d=1.87175e-22 t=63164
gong gao 	公告	c=1 d=7.89847e-49 t=63164
gong geng 	躬耕	c=0 d=8.0487e-07 t=63164
gong geng nan yang 	躬耕南陽	c=1 d=5.20061e-15 t=63164
gong geng yu 	躬耕於	c=1 d=8.08904e-06 t=63164
gong gong 	公共	c=2 d=3.18657e-17 t=63164
gong gong fu li 	公共福利	c=1 d=7.59394e-57 t=63164
gong gu 	鞏固	c=0 d=1.43133e-14 t=63164
gong gu zou 	鞏固走	c=1 d=1.43851e-13 t=63164
gong ji jin 	公積金	c=3 d=6.63496e-05 t=63164
gong jiao 	公交	c=9 d=4.42772e-07 t=63164
gong jiao fei 	公交費	c=1 d=1.02829e-34 t=63164
gong jiao zhan 	公交站	c=1 d=3.01399e-09 t=63164
gong ju 	工具	c=9 d=0.0399591 t=63164
gong ju lan 	工具欄	c=1 d=3.19928e-05 t=63164
gong ju tui jian 	工具推薦	c=1 d=1.71001e-47 t=63164
gong ju xing 	工具性	c=1 d=7.79148e-65 t=63164
gong kai 	公開	c=3 d=3.59483e-11 t=63164
gong kai ke 	公開課	c=2 d=3.76667e-14 t=63164
gong li 	功力	c=1 d=1.74342e-10 t=63164
gong lu 	公路	c=1 d=4.41543e-60 t=63164
gong neng 	功能	c=13 d=0.165299 t=63164
gong neng geng 	功能更	c=1 d=4.53598e-24 t=63164
gong neng jian 	功能鍵	c=1 d=1.96698e-47 t=63164
gong qing 	公頃	c=1 d=4.01472e-29 t=63164
gong qing qing 	龔慶慶	c=1 d=3.73427e-30 t=63164
gong ran biao shi 	公然表示	c=1 d=5.23826e-41 t=63164
gong shang ju 	工商局	c=1 d=1.91711e-39 t=63164
gong she 	公社	c=0 d=2.89572e-39 t=63164
gong shi 	公式	c=7 d=5.6197 t=55279
gong shi 	公示	c=3 d=3.41891e-53 t=63164
gong si 	公司	c=132 d=0.704688 t=63164
gong si fa 	公司法	c=1 d=4.40717e-38 t=63164
gong tong 	共同	c=3 d=3.00282e-10 t=63164
gong wang 	公網	c=1 d=1 t=58602
gong wen 	公文	c=1 d=1.22582e-13 t=63164
gong xian 	貢獻	c=2 d=0.0284388 t=63164
gong xiang 	共享	c=9 d=7.64923e-08 t=63164
gong xin 	工薪	c=2 d=2.14547e-16 t=63164
gong xin jia ting 	工薪家庭	c=1 d=1 t=56408
gong xin zu 	工薪族	c=1 d=5.36447e-27 t=63164
gong xu liang su 	公序良俗	c=2 d=1.01389e-40 t=63164
gong ye cheng 	工業城	c=1 d=2.16124e-08 t=63164
gong ye hua 	工業化	c=1 d=3.32284e-39 t=63164
gong yi 	公益	c=2 d=8.97772e-41 t=63164
gong ying 	恭迎	c=2 d=8.98752e-58 t=63164
gong yong 	共用	c=3 d=0.01068 t=63164
gong yong bu fen 	共用部分	c=1 d=1 t=62717
gong you ren 	共有人	c=2 d=4.42363e-47 t=63164
gong yu 	公寓	c=3 d=3.51233e-16 t=63164
gong yu li 	功與利	c=1 d=1.20674e-05 t=63164
gong yuan 	公園	c=1 d=2.13973e-08 t=63164
gong zi 	工資	c=50 d=0.650509 t=63164
gong zi dan 	工資單	c=4 d=3.09354e-36 t=63164
gong zi shou ru 	工資收入	c=1 d=6.64781e-21 t=63164
gong zi tiao 	工資條	c=2 d=1.36871e-36 t=63164
gong zi zhi fu 	工資支付	c=2 d=1.20769e-36 t=63164
gong zu 	公族	c=1 d=0.0505395 t=63164
gong zuo 	工作	c=77 d=0.240508 t=63164
gong zuo ji hui 	工作機會	c=2 d=1.00097 t=56438
gong zuo kuang 	工作狂	c=1 d=3.2637e-63 t=63164
gong zuo ri 	工作日	c=1 d=1.83375e-16 t=63164
gong zuo xi bao 	工作細胞	c=1 d=1 t=56100
gong zuo xiao lv 	工作效率	c=1 d=9.78635e-41 t=63164
gong zuo yu yi 	工作語義	c=2 d=3.53635e-07 t=63164
gou 	夠	c=17 d=0.261846 t=63164
gou 	狗	c=7 d=1.04273e-15 t=63164
gou 	購	c=2 d=0.193013 t=63164
gou bi 	狗逼	c=1 d=5.46039e-59 t=63164
gou bu gou 	夠不夠	c=1 d=1.99603e-43 t=63164
gou cheng 	構成	c=6 d=1 t=63164
gou cheng yao jian 	構成要件	c=1 d=1.05888e-26 t=63164
gou de 	購得	c=1 d=2.2447e-42 t=63164
gou gou 	狗狗	c=1 d=2.18238e-33 t=63164
gou gou bo ke 	狗狗博客	c=1 d=2.39423e-36 t=63164
gou jian 	構建	c=2 d=0.0246002 t=63164
gou mai 	購買	c=20 d=0.814647 t=63164
gou qi 	勾起	c=1 d=0.000178665 t=63164
gou qiang 	夠強	c=1 d=2.70611e-06 t=63164
gou quan xing ming 	苟全性命	c=0 d=8.17034e-07 t=63164
gou quan xing ming yu luan shi 	苟全性命於亂世	c=1 d=8.21129e-06 t=63164
gou ri 	狗日	c=7 d=1.27392e-06 t=63164
gou ru 	購入	c=1 d=2.71949e-64 t=63164
gou si 	構思	c=3 d=1.72171e-09 t=63164
gou tong 	溝通	c=4 d=1.18959e-13 t=63164
gou wu 	購物	c=1 d=1.92908e-24 t=63164
gou wu che 	購物車	c=1 d=2.58466e-54 t=63164
gou wu qing dan 	購物清單	c=1 d=8.5035e-35 t=63164
gou xiang 	構想	c=3 d=9.12192e-08 t=63164
gou yan 	狗眼	c=1 d=3.31144e-28 t=63164
gou yong 	夠用	c=1 d=1 t=60940
gou zao 	構造	c=1 d=2.56792e-07 t=63164
gou zhi 	購置	c=1 d=2.39464e-38 t=63164
gu 	故	c=1 d=2.66346e-25 t=63164
gu 	股	c=18 d=4.08004e-20 t=63164
gu ao 	古奧	c=1 d=1.4156e-30 t=63164
gu ce 	估測	c=1 d=0.00802655 t=63164
gu ci 	故此	c=1 d=1.91646e-35 t=63164
gu dao 	鼓搗	c=1 d=3.64964e-25 t=63164
gu ding 	固定	c=7 d=3.97761e-08 t=63164
gu dong 	股東	c=6 d=2.62016e-38 t=63164
gu du 	孤獨	c=0 d=4.08108e-17 t=63164
gu fen 	股份	c=7 d=0.66034 t=63164
gu fu 	辜負	c=0 d=6.47464e-35 t=63164
gu ge 	谷歌	c=6 d=3.44365e-11 t=63164
gu ge fan yi 	谷歌翻譯	c=1 d=7.48876e-40 t=63164
gu guai 	古怪	c=1 d=2.60213e-45 t=63164
gu ji 	估計	c=37 d=0.000356831 t=63164
gu ji 	古籍	c=1 d=1 t=56460
gu jia 	股價	c=6 d=6.15258e-23 t=63164
gu lao 	古老	c=2 d=1.23286 t=56455
gu lao chuan tong 	古老傳統	c=1 d=1 t=56456
gu li 	鼓勵	c=5 d=1.18325e-09 t=63164
gu mei men 	古美門	c=3 d=0.917572 t=63164
gu pi 	孤僻	c=1 d=2.41411e-45 t=63164
gu piao 	股票	c=49 d=0.00208739 t=63164
gu piao xing 	股票型	c=1 d=2.38798e-64 t=63164
gu quan 	股權	c=7 d=1.48131e-05 t=63164
gu ran 	固然	c=2 d=1.11932e-32 t=63164
gu ren 	僱人	c=4 d=2.29281e-30 t=63164
gu ren 	故人	c=1 d=1.0306e-31 t=63164
gu shi 	故事	c=10 d=9.5126e-10 t=63164
gu shi 	股市	c=9 d=4.36792e-21 t=63164
gu suan 	估算	c=1 d=1.46982e-31 t=63164
gu wen 	顧問	c=2 d=6.1931e-11 t=63164
gu wu 	鼓舞	c=1 d=5.33953e-31 t=63164
gu xi 	股息	c=5 d=1.90787e-41 t=63164
gu yi 	故意	c=6 d=0.524663 t=63164
gu yi qin quan 	故意侵權	c=1 d=2.0879e-43 t=63164
gu yong 	僱傭	c=2 d=1.97589e-12 t=63164
gu yong guan xi 	僱傭關係	c=1 d=2.63966e-37 t=63164
gu yuan 	僱員	c=1 d=1 t=55140
gu zhang 	故障	c=1 d=4.73332e-25 t=63164
gua 	掛	c=8 d=0.00775048 t=63164
gua 	瓜	c=1 d=8.97971e-29 t=63164
gua ji 	掛機	c=1 d=4.254e-63 t=63164
gua mian 	掛麪	c=2 d=0.000193197 t=63164
gua nian 	掛念	c=1 d=2.43464e-27 t=63164
gua qi 	掛起	c=2 d=1.01426 t=57542
gua qi 	颳起	c=1 d=1.03844e-32 t=63164
gua shi 	掛失	c=1 d=2.46807e-11 t=63164
gua shi 	掛飾	c=1 d=2.48044e-11 t=63164
guai 	怪	c=2 d=0.00357068 t=63164
guai bu de 	怪不得	c=1 d=2.20715e-20 t=63164
guai guai 	乖乖	c=2 d=2.39553e-13 t=63164
guan 	管	c=8 d=0.000812821 t=63164
guan 	關	c=2 d=1.84677e-11 t=63164
guan 	館	c=1 d=0.053397 t=63164
guan bi 	關閉	c=6 d=0.0605329 t=63164
guan cha 	觀察	c=2 d=1.67322e-20 t=63164
guan dian 	觀點	c=1 d=5.2493e-07 t=63164
guan fang 	官方	c=4 d=1.99005 t=59448
guan fang ding yi 	官方定義	c=1 d=1 t=55897
guan ji 	關機	c=5 d=1.73833e-05 t=63164
guan jian 	關鍵	c=5 d=3.36183e-20 t=63164
guan jian ci 	關鍵詞	c=6 d=7.54346e-08 t=63164
guan jian zi 	關鍵字	c=1 d=1.09228e-09 t=63164
guan jiu 	灌酒	c=1 d=6.8989e-16 t=63164
guan li 	管理	c=17 d=0.0135374 t=63164
guan li ren 	管理人	c=3 d=9.02319e-27 t=63164
guan li shi wu 	管理事務	c=1 d=9.39143e-27 t=63164
guan li yuan 	管理員	c=2 d=6.03814e-07 t=63164
guan men 	關門	c=1 d=2.29356e-60 t=63164
guan nei 	關內	c=3 d=6.67225e-27 t=63164
guan si 	官司	c=1 d=1.43056e-36 t=63164
guan wai 	關外	c=2 d=6.60611e-27 t=63164
guan wang 	官網	c=10 d=0.00301245 t=63164
guan xi 	關係	c=23 d=1.32188 t=63164
guan xi hao 	關係好	c=1 d=4.18938e-30 t=63164
guan xia quan 	管轄權	c=1 d=2.80041e-56 t=63164
guan xin 	關心	c=3 d=0.000185956 t=63164
guan yu 	關於	c=24 d=0.00346525 t=63164
guan zhu 	關注	c=30 d=0.00574457 t=63164
guan zhu dian 	關注點	c=1 d=0.000204488 t=63164
guan zi 	館子	c=5 d=1.83849e-18 t=63164
guang 	光	c=2 d=0.0269169 t=63164
guang 	廣	c=2 d=0.140858 t=63164
guang 	逛	c=1 d=5.16203e-45 t=63164
guang bo 	廣博	c=4 d=5.32264e-05 t=63164
guang bo 	廣播	c=5 d=2.58994 t=62760
guang bo gu fen 	廣博股份	c=1 d=5.18156e-60 t=63164
guang chang 	廣場	c=0 d=0.1 t=55118
guang da 	光大	c=1 d=2.87726e-51 t=63164
guang da 	廣大	c=1 d=6.03794e-36 t=63164
guang da yin hang 	光大銀行	c=1 d=4.91027e-45 t=63164
guang dong 	廣東	c=8 d=0.000145348 t=63164
guang dong jie yang 	廣東揭陽	c=1 d=8.99501e-49 t=63164
guang dong ren 	廣東人	c=2 d=7.80348e-05 t=63164
guang fa 	廣發	c=3 d=3.4746e-35 t=63164
guang gao 	廣告	c=13 d=0.00022941 t=63164
guang gao fei 	廣告費	c=1 d=8.96597e-11 t=63164
guang gun 	光棍	c=1 d=1.5816e-11 t=63164
guang kao 	光靠	c=2 d=3.09829e-10 t=63164
guang kuo 	廣闊	c=1 d=1.21028e-10 t=63164
guang ming 	光明	c=1 d=1.53695e-27 t=63164
guang pan 	光盤	c=4 d=7.62095e-08 t=63164
guang qu 	光去	c=1 d=4.14064e-10 t=63164
guang shi 	光是	c=1 d=1.98958e-05 t=63164
guang shuo bu lian 	光說不練	c=0 d=3.14458e-09 t=63164
guang shuo bu lian jia ba shi 	光說不練假把式	c=1 d=3.16034e-08 t=63164
guang su 	光速	c=1 d=1 t=59466
guang xian 	光線	c=1 d=1.16901e-43 t=63164
guang zhou 	廣州	c=8 d=8.82799e-26 t=63164
guang zhou bei zhan 	廣州北站	c=2 d=1.26485e-35 t=63164
gui 	歸	c=1 d=6.00885e-38 t=63164
gui 	貴	c=12 d=0.000472586 t=63164
gui 	鬼	c=1 d=1.02473e-52 t=63164
gui bi 	規避	c=1 d=8.37405e-31 t=63164
gui ding 	規定	c=11 d=0.884981 t=63164
gui er 	龜兒	c=1 d=1 t=61714
gui fan 	規範	c=4 d=1.89123e-16 t=63164
gui gong si 	貴公司	c=4 d=6.01381e-16 t=63164
gui gu 	硅谷	c=1 d=2.7308e-54 t=63164
gui hua 	規劃	c=4 d=9.95917e-36 t=63164
gui ju 	規矩	c=1 d=1.21527e-29 t=63164
gui lin 	桂林	c=1 d=4.29091e-47 t=63164
gui lv 	規律	c=4 d=3.70901e-58 t=63164
gui mi 	閨蜜	c=3 d=1.21279e-05 t=63164
gui mo 	規模	c=3 d=1.74491e-20 t=63164
gui qiu 	跪求	c=1 d=5.35609e-38 t=63164
gui ru 	歸入	c=1 d=3.97816e-39 t=63164
gui tai 	櫃檯	c=2 d=7.64785e-52 t=63164
gui wei 	歸爲	c=0 d=1.23104e-64 t=63164
gui wei yi lei 	歸爲一類	c=1 d=1.23721e-63 t=63164
gui ze 	規則	c=10 d=7.75708e-13 t=63164
gui ze de 	規則的	c=1 d=4.21984e-27 t=63164
gui zhong 	貴重	c=1 d=3.32906e-61 t=63164
gui zhou 	貴州	c=1 d=2.63822e-60 t=63164
gun 	滾	c=2 d=1.43868e-29 t=63164
gun dong 	滾動	c=1 d=1.45673e-14 t=63164
